dataset,fname,label,sublabel
b,set_b/extrastole__127_1306764300147_C2.wav,extrastole,
b,set_b/extrastole__128_1306344005749_A.wav,extrastole,
b,set_b/extrastole__130_1306347376079_D.wav,extrastole,
b,set_b/extrastole__134_1306428161797_C1.wav,extrastole,
b,set_b/extrastole__138_1306762146980_B.wav,extrastole,
b,set_b/extrastole__140_1306519735121_D.wav,extrastole,
b,set_b/extrastole__144_1306522408528_B.wav,extrastole,
b,set_b/extrastole__144_1306522408528_B1.wav,extrastole,
b,set_b/extrastole__148_1306768801551_B.wav,extrastole,
b,set_b/extrastole__151_1306779785624_B.wav,extrastole,
b,set_b/extrastole__153_1306848820671_C.wav,extrastole,
b,set_b/extrastole__154_1306935608852_D2.wav,extrastole,
b,set_b/extrastole__163_1307104470471_C.wav,extrastole,
b,set_b/extrastole__179_1307990076841_C.wav,extrastole,
b,set_b/extrastole__184_1308073010307_A.wav,extrastole,
b,set_b/extrastole__190_1308076920011_C.wav,extrastole,
b,set_b/extrastole__191_1308077299430_A.wav,extrastole,
b,set_b/extrastole__194_1308139824187_B.wav,extrastole,
b,set_b/extrastole__198_1308141739338_B.wav,extrastole,
b,set_b/extrastole__198_1308141739338_B1.wav,extrastole,
b,set_b/extrastole__202_1308145175747_C1.wav,extrastole,
b,set_b/extrastole__202_1308145175747_C2.wav,extrastole,
b,set_b/extrastole__207_1308159792607_B.wav,extrastole,
b,set_b/extrastole__207_1308159792607_B1.wav,extrastole,
b,set_b/extrastole__209_1308162216750_D.wav,extrastole,
b,set_b/extrastole__210_1308162935880_C.wav,extrastole,
b,set_b/extrastole__213_1308245263936_D.wav,extrastole,
b,set_b/extrastole__215_1308245664733_B.wav,extrastole,
b,set_b/extrastole__215_1308245664733_B1.wav,extrastole,
b,set_b/extrastole__216_1308245839516_A.wav,extrastole,
b,set_b/extrastole__216_1308245839516_B.wav,extrastole,
b,set_b/extrastole__220_1308250132896_B.wav,extrastole,
b,set_b/extrastole__224_1308337157445_B.wav,extrastole,
b,set_b/extrastole__229_1308594979317_B.wav,extrastole,
b,set_b/extrastole__235_1308749032454_B.wav,extrastole,
b,set_b/extrastole__237_1308750231222_A.wav,extrastole,
b,set_b/extrastole__237_1308750231222_C.wav,extrastole,
b,set_b/extrastole__249_1309202052376_C.wav,extrastole,
b,set_b/extrastole__253_1309350256198_B.wav,extrastole,
b,set_b/extrastole__261_1309353556003_C.wav,extrastole,
b,set_b/extrastole__265_1309367698923_C.wav,extrastole,
b,set_b/extrastole__274_1311075637574_A.wav,extrastole,
b,set_b/extrastole__275_1310990852160_B.wav,extrastole,
b,set_b/extrastole__286_1311170606028_D.wav,extrastole,
b,set_b/extrastole__294_1311681084248_C.wav,extrastole,
b,set_b/extrastole__298_1311685888900_C.wav,extrastole,
b,set_b/murmur__112_1306243000964_A.wav,murmur,
b,set_b/murmur__112_1306243000964_B.wav,murmur,
b,set_b/murmur__112_1306243000964_D.wav,murmur,
b,set_b/murmur__116_1306258689913_A.wav,murmur,
b,set_b/murmur__116_1306258689913_C.wav,murmur,
b,set_b/murmur__116_1306258689913_D.wav,murmur,
b,set_b/murmur__122_1306325762831_C.wav,murmur,
b,set_b/murmur__122_1306325762831_D.wav,murmur,
b,set_b/murmur__156_1306936373241_B.wav,murmur,
b,set_b/murmur__160_1307100683334_A.wav,murmur,
b,set_b/murmur__160_1307100683334_B.wav,murmur,
b,set_b/murmur__161_1307101199321_A.wav,murmur,
b,set_b/murmur__162_1307101835989_A.wav,murmur,
b,set_b/murmur__162_1307101835989_B.wav,murmur,
b,set_b/murmur__164_1307106095995_B.wav,murmur,
b,set_b/murmur__164_1307106095995_C.wav,murmur,
b,set_b/murmur__165_1307109069581_C.wav,murmur,
b,set_b/murmur__165_1307109069581_C2.wav,murmur,
b,set_b/murmur__171_1307971016233_D.wav,murmur,
b,set_b/murmur__171_1307971016233_D1.wav,murmur,
b,set_b/murmur__171_1307971016233_E.wav,murmur,
b,set_b/murmur__185_1308073325396_B.wav,murmur,
b,set_b/murmur__185_1308073325396_C.wav,murmur,
b,set_b/murmur__193_1308078104592_B.wav,murmur,
b,set_b/murmur__193_1308078104592_C.wav,murmur,
b,set_b/murmur__193_1308078104592_C1.wav,murmur,
b,set_b/murmur__195_1308140095331_A.wav,murmur,
b,set_b/murmur__195_1308140095331_C.wav,murmur,
b,set_b/murmur__195_1308140095331_C1.wav,murmur,
b,set_b/murmur__196_1308141034858_B.wav,murmur,
b,set_b/murmur__196_1308141034858_C.wav,murmur,
b,set_b/murmur__197_1308141235553_A.wav,murmur,
b,set_b/murmur__197_1308141235553_C.wav,murmur,
b,set_b/murmur__197_1308141235553_D.wav,murmur,
b,set_b/murmur__200_1308144251434_C.wav,murmur,
b,set_b/murmur__200_1308144251434_D.wav,murmur,
b,set_b/murmur__203_1308162026258_B.wav,murmur,
b,set_b/murmur__203_1308162026258_C1.wav,murmur,
b,set_b/murmur__203_1308162026258_D.wav,murmur,
b,set_b/murmur__204_1308159229275_B.wav,murmur,
b,set_b/murmur__211_1308163238707_C.wav,murmur,
b,set_b/murmur__223_1308337062581_D.wav,murmur,
b,set_b/murmur__239_1309195730333_B.wav,murmur,
b,set_b/murmur__239_1309195730333_C.wav,murmur,
b,set_b/murmur__240_1309196119795_B.wav,murmur,
b,set_b/murmur__240_1309196119795_C.wav,murmur,
b,set_b/murmur__240_1309201366049_B.wav,murmur,
b,set_b/murmur__242_1309197394064_B.wav,murmur,
b,set_b/murmur__242_1309197394064_D.wav,murmur,
b,set_b/murmur__244_1309198148498_B.wav,murmur,
b,set_b/murmur__245_1309200438094_B.wav,murmur,
b,set_b/murmur__248_1309201683806_A.wav,murmur,
b,set_b/murmur__248_1309201683806_C.wav,murmur,
b,set_b/murmur__254_1309350589009_A.wav,murmur,
b,set_b/murmur__254_1309350589009_A1.wav,murmur,
b,set_b/murmur__254_1309350589009_C.wav,murmur,
b,set_b/murmur__254_1309350589009_D.wav,murmur,
b,set_b/murmur__276_1311162716489_C.wav,murmur,
b,set_b/murmur__281_1311165683454_A.wav,murmur,
b,set_b/murmur__281_1311165683454_B.wav,murmur,
b,set_b/murmur__281_1311165683454_D.wav,murmur,
b,set_b/murmur__287_1311170903290_C.wav,murmur,
b,set_b/murmur__288_1311164615284_D.wav,murmur,
b,set_b/murmur__292_1311185449649_B.wav,murmur,
b,set_b/murmur__292_1311185449649_C.wav,murmur,
b,set_b/murmur__293_1311680805936_B1.wav,murmur,
b,set_b/normal__103_1305031931979_B.wav,normal,
b,set_b/normal__103_1305031931979_D1.wav,normal,
b,set_b/normal__103_1305031931979_D2.wav,normal,
b,set_b/normal__103_1305031931979_D3.wav,normal,
b,set_b/normal__106_1306776721273_B1.wav,normal,
b,set_b/normal__106_1306776721273_C1.wav,normal,
b,set_b/normal__106_1306776721273_C2.wav,normal,
b,set_b/normal__106_1306776721273_D1.wav,normal,
b,set_b/normal__106_1306776721273_D2.wav,normal,
b,set_b/normal__107_1305654946865_C1.wav,normal,
b,set_b/normal__109_1305653646620_C.wav,normal,
b,set_b/normal__113_1306244002866_D.wav,normal,
b,set_b/normal__115_1306259437619_C.wav,normal,
b,set_b/normal__117_1306262456650_B.wav,normal,
b,set_b/normal__125_1306332456645_B.wav,normal,
b,set_b/normal__126_1306777102824_B.wav,normal,
b,set_b/normal__126_1306777102824_C.wav,normal,
b,set_b/normal__126_1306777102824_D.wav,normal,
b,set_b/normal__127_1306764300147_A.wav,normal,
b,set_b/normal__127_1306764300147_B.wav,normal,
b,set_b/normal__127_1306764300147_C1.wav,normal,
b,set_b/normal__128_1306344005749_B.wav,normal,
b,set_b/normal__128_1306344005749_D.wav,normal,
b,set_b/normal__128_1306344005749_D1.wav,normal,
b,set_b/normal__129_1306344506305_B1.wav,normal,
b,set_b/normal__129_1306344506305_D.wav,normal,
b,set_b/normal__129_1306344506305_D1.wav,normal,
b,set_b/normal__133_1306759619127_A.wav,normal,
b,set_b/normal__133_1306759619127_B.wav,normal,
b,set_b/normal__133_1306759619127_D.wav,normal,
b,set_b/normal__134_1306428161797_C.wav,normal,
b,set_b/normal__134_1306428161797_C2.wav,normal,
b,set_b/normal__134_1306428161797_D.wav,normal,
b,set_b/normal__137_1306764999211_C.wav,normal,
b,set_b/normal__137_1306764999211_D.wav,normal,
b,set_b/normal__139_1306519274653_A.wav,normal,
b,set_b/normal__140_1306519735121_A.wav,normal,
b,set_b/normal__140_1306519735121_B.wav,normal,
b,set_b/normal__140_1306519735121_D1.wav,normal,
b,set_b/normal__141_1306520154450_B.wav,normal,
b,set_b/normal__141_1306520154450_C.wav,normal,
b,set_b/normal__143_1306763822290_B.wav,normal,
b,set_b/normal__143_1306763822290_C.wav,normal,
b,set_b/normal__145_1307987561278_B.wav,normal,
b,set_b/normal__145_1307987561278_C.wav,normal,
b,set_b/normal__146_1306778707532_A.wav,normal,
b,set_b/normal__146_1306778707532_B.wav,normal,
b,set_b/normal__146_1306778707532_D1.wav,normal,
b,set_b/normal__146_1306778707532_D2.wav,normal,
b,set_b/normal__146_1306778707532_D3.wav,normal,
b,set_b/normal__146_1306778707532_D4.wav,normal,
b,set_b/normal__147_1306523973811_A.wav,normal,
b,set_b/normal__147_1306523973811_C.wav,normal,
b,set_b/normal__148_1306768801551_C1.wav,normal,
b,set_b/normal__148_1306768801551_D2.wav,normal,
b,set_b/normal__149_1306776016110_B.wav,normal,
b,set_b/normal__149_1306776016110_C1.wav,normal,
b,set_b/normal__150_1306776340746_B.wav,normal,
b,set_b/normal__150_1306776340746_C.wav,normal,
b,set_b/normal__151_1306779785624_A.wav,normal,
b,set_b/normal__151_1306779785624_D.wav,normal,
b,set_b/normal__152_1306779561195_B1.wav,normal,
b,set_b/normal__152_1306779561195_C1.wav,normal,
b,set_b/normal__152_1306779561195_D.wav,normal,
b,set_b/normal__153_1306848820671_A.wav,normal,
b,set_b/normal__153_1306848820671_B.wav,normal,
b,set_b/normal__153_1306848820671_B1.wav,normal,
b,set_b/normal__153_1306848820671_D1.wav,normal,
b,set_b/normal__154_1306935608852_A1.wav,normal,
b,set_b/normal__154_1306935608852_B.wav,normal,
b,set_b/normal__154_1306935608852_B1.wav,normal,
b,set_b/normal__154_1306935608852_D.wav,normal,
b,set_b/normal__155_1306935902813_B1.wav,normal,
b,set_b/normal__158_1306947254705_B2.wav,normal,
b,set_b/normal__159_1307018640315_A.wav,normal,
b,set_b/normal__159_1307018640315_B1.wav,normal,
b,set_b/normal__159_1307018640315_B2.wav,normal,
b,set_b/normal__159_1307018640315_C1.wav,normal,
b,set_b/normal__167_1307111318050_A.wav,normal,
b,set_b/normal__167_1307111318050_C.wav,normal,
b,set_b/normal__168_1307970069434_A.wav,normal,
b,set_b/normal__168_1307970069434_A2.wav,normal,
b,set_b/normal__169_1307970398039_C.wav,normal,
b,set_b/normal__170_1307970562729_A.wav,normal,
b,set_b/normal__170_1307970562729_B.wav,normal,
b,set_b/normal__170_1307970562729_C.wav,normal,
b,set_b/normal__172_1307971284351_B.wav,normal,
b,set_b/normal__172_1307971284351_B1.wav,normal,
b,set_b/normal__173_1307973611151_B.wav,normal,
b,set_b/normal__173_1307973611151_C.wav,normal,
b,set_b/normal__174_1307987737137_B.wav,normal,
b,set_b/normal__174_1307987737137_B1.wav,normal,
b,set_b/normal__175_1307987962616_B.wav,normal,
b,set_b/normal__175_1307987962616_B1.wav,normal,
b,set_b/normal__175_1307987962616_D.wav,normal,
b,set_b/normal__176_1307988171173_A.wav,normal,
b,set_b/normal__176_1307988171173_B.wav,normal,
b,set_b/normal__176_1307988171173_B1.wav,normal,
b,set_b/normal__177_1307989650056_A1.wav,normal,
b,set_b/normal__177_1307989650056_B.wav,normal,
b,set_b/normal__177_1307989650056_D.wav,normal,
b,set_b/normal__177_1307989650056_D1.wav,normal,
b,set_b/normal__178_1307989887769_B.wav,normal,
b,set_b/normal__178_1307989887769_D.wav,normal,
b,set_b/normal__179_1307990076841_B.wav,normal,
b,set_b/normal__179_1307990076841_D.wav,normal,
b,set_b/normal__180_1307990956284_A.wav,normal,
b,set_b/normal__180_1307990956284_C.wav,normal,
b,set_b/normal__181_1308052613891_B.wav,normal,
b,set_b/normal__181_1308052613891_D.wav,normal,
b,set_b/normal__183_1308072703477_B.wav,normal,
b,set_b/normal__183_1308072703477_C.wav,normal,
b,set_b/normal__184_1308073010307_B.wav,normal,
b,set_b/normal__184_1308073010307_D.wav,normal,
b,set_b/normal__186_1308073648738_C1.wav,normal,
b,set_b/normal__186_1308073648738_D.wav,normal,
b,set_b/normal__188_1308074301731_C.wav,normal,
b,set_b/normal__188_1308074301731_D.wav,normal,
b,set_b/normal__190_1308076920011_C1.wav,normal,
b,set_b/normal__190_1308076920011_D.wav,normal,
b,set_b/normal__191_1308077299430_B.wav,normal,
b,set_b/normal__194_1308139824187_A.wav,normal,
b,set_b/normal__194_1308139824187_A1.wav,normal,
b,set_b/normal__198_1308141739338_C.wav,normal,
b,set_b/normal__201_1308144942432_A.wav,normal,
b,set_b/normal__201_1308144942432_A1.wav,normal,
b,set_b/normal__202_1308145175747_C.wav,normal,
b,set_b/normal__202_1308145175747_D.wav,normal,
b,set_b/normal__204_1308159229275_C.wav,normal,
b,set_b/normal__204_1308159229275_D.wav,normal,
b,set_b/normal__206_1308159601959_C.wav,normal,
b,set_b/normal__207_1308159792607_C.wav,normal,
b,set_b/normal__208_1308159994503_C.wav,normal,
b,set_b/normal__209_1308162216750_A.wav,normal,
b,set_b/normal__209_1308162216750_A1.wav,normal,
b,set_b/normal__210_1308162935880_B.wav,normal,
b,set_b/normal__210_1308162935880_B1.wav,normal,
b,set_b/normal__210_1308162935880_D1.wav,normal,
b,set_b/normal__210_1308162935880_D2.wav,normal,
b,set_b/normal__213_1308245263936_C.wav,normal,
b,set_b/normal__214_1308245489717_A.wav,normal,
b,set_b/normal__215_1308245664733_C.wav,normal,
b,set_b/normal__215_1308245664733_C1.wav,normal,
b,set_b/normal__216_1308245839516_C.wav,normal,
b,set_b/normal__217_1308246111629_C.wav,normal,
b,set_b/normal__217_1308246111629_C1.wav,normal,
b,set_b/normal__218_1308246311449_C.wav,normal,
b,set_b/normal__218_1308246311449_C1.wav,normal,
b,set_b/normal__220_1308250132896_C.wav,normal,
b,set_b/normal__220_1308250132896_D.wav,normal,
b,set_b/normal__224_1308337157445_C.wav,normal,
b,set_b/normal__227_1308594233667_B.wav,normal,
b,set_b/normal__227_1308594233667_C.wav,normal,
b,set_b/normal__230_1308595300880_B.wav,normal,
b,set_b/normal__230_1308595300880_C.wav,normal,
b,set_b/normal__232_1308748524018_A.wav,normal,
b,set_b/normal__232_1308748524018_B.wav,normal,
b,set_b/normal__232_1308748524018_B1.wav,normal,
b,set_b/normal__232_1308748524018_C.wav,normal,
b,set_b/normal__232_1308748524018_D1.wav,normal,
b,set_b/normal__235_1308749032454_C.wav,normal,
b,set_b/normal__235_1308749032454_D.wav,normal,
b,set_b/normal__237_1308750231222_C.wav,normal,
b,set_b/normal__238_1309194586293_A.wav,normal,
b,set_b/normal__238_1309194586293_B.wav,normal,
b,set_b/normal__250_1309202496494_A.wav,normal,
b,set_b/normal__250_1309202496494_B.wav,normal,
b,set_b/normal__252_1309203336604_B.wav,normal,
b,set_b/normal__256_1309351470137_A.wav,normal,
b,set_b/normal__258_1309352253234_C.wav,normal,
b,set_b/normal__260_1309353164458_C.wav,normal,
b,set_b/normal__261_1309353556003_B.wav,normal,
b,set_b/normal__262_1309355283807_A.wav,normal,
b,set_b/normal__267_1309368735165_A.wav,normal,
b,set_b/normal__270_1309369533040_C.wav,normal,
b,set_b/normal__273_1309370841191_B.wav,normal,
b,set_b/normal__274_1311075637574_A1.wav,normal,
b,set_b/normal__274_1311075637574_B.wav,normal,
b,set_b/normal__274_1311075637574_B1.wav,normal,
b,set_b/normal__274_1311075637574_D.wav,normal,
b,set_b/normal__278_1311163365896_A.wav,normal,
b,set_b/normal__278_1311163365896_A1.wav,normal,
b,set_b/normal__280_1311165195344_A.wav,normal,
b,set_b/normal__282_1311166081161_C.wav,normal,
b,set_b/normal__283_1311167409239_A.wav,normal,
b,set_b/normal__286_1311170606028_A.wav,normal,
b,set_b/normal__286_1311170606028_A1.wav,normal,
b,set_b/normal__286_1311170606028_B1.wav,normal,
b,set_b/normal__286_1311170606028_C.wav,normal,
b,set_b/normal__290_1311182875320_A.wav,normal,
b,set_b/normal__291_1311185210672_A.wav,normal,
b,set_b/normal__294_1311681084248_A.wav,normal,
b,set_b/normal__294_1311681084248_B.wav,normal,
b,set_b/normal__294_1311681084248_D1.wav,normal,
b,set_b/normal__295_1311682673157_D.wav,normal,
b,set_b/normal__296_1311682952647_A1.wav,normal,
b,set_b/normal__296_1311682952647_A2.wav,normal,
b,set_b/normal__298_1311685888900_B.wav,normal,
b,set_b/normal__299_1311770522820_C.wav,normal,
b,set_b/normal__300_1311772096120_C1.wav,normal,
b,set_b/Bunlabelledtest__101_1305030823364_A.wav,,
b,set_b/Bunlabelledtest__101_1305030823364_D.wav,,
b,set_b/Bunlabelledtest__101_1305030823364_F.wav,,
b,set_b/Bunlabelledtest__103_1305031931979_A.wav,,
b,set_b/Bunlabelledtest__103_1305031931979_C.wav,,
b,set_b/Bunlabelledtest__105_1305033453095_B.wav,,
b,set_b/Bunlabelledtest__105_1305033453095_D.wav,,
b,set_b/Bunlabelledtest__106_1306776721273_B.wav,,
b,set_b/Bunlabelledtest__106_1306776721273_D.wav,,
b,set_b/Bunlabelledtest__107_1305654946865_B.wav,,
b,set_b/Bunlabelledtest__107_1305654946865_D.wav,,
b,set_b/Bunlabelledtest__108_1305654420093_C.wav,,
b,set_b/Bunlabelledtest__109_1305653646620_B.wav,,
b,set_b/Bunlabelledtest__109_1305653646620_D.wav,,
b,set_b/Bunlabelledtest__109_1305653972028_B.wav,,
b,set_b/Bunlabelledtest__109_1305653972028_D.wav,,
b,set_b/Bunlabelledtest__110_1305655332337_D.wav,,
b,set_b/Bunlabelledtest__112_1306243000964_C.wav,,
b,set_b/Bunlabelledtest__113_1306244002866_C.wav,,
b,set_b/Bunlabelledtest__115_1306259437619_D.wav,,
b,set_b/Bunlabelledtest__116_1306258689913_B.wav,,
b,set_b/Bunlabelledtest__117_1306262456650_B1.wav,,
b,set_b/Bunlabelledtest__118_1306262335509_A.wav,,
b,set_b/Bunlabelledtest__118_1306262335509_A1.wav,,
b,set_b/Bunlabelledtest__118_1306262335509_C2.wav,,
b,set_b/Bunlabelledtest__121_1306263877235_B.wav,,
b,set_b/Bunlabelledtest__122_1306325762831_A.wav,,
b,set_b/Bunlabelledtest__122_1306325762831_B.wav,,
b,set_b/Bunlabelledtest__123_1306331925797_A.wav,,
b,set_b/Bunlabelledtest__123_1306331925797_D.wav,,
b,set_b/Bunlabelledtest__125_1306332456645_B2.wav,,
b,set_b/Bunlabelledtest__126_1306777102824_C1.wav,,
b,set_b/Bunlabelledtest__126_1306777102824_D1.wav,,
b,set_b/Bunlabelledtest__127_1306764300147_D.wav,,
b,set_b/Bunlabelledtest__128_1306344005749_C.wav,,
b,set_b/Bunlabelledtest__129_1306344506305_B.wav,,
b,set_b/Bunlabelledtest__130_1306347376079_A.wav,,
b,set_b/Bunlabelledtest__132_1306758754432_A.wav,,
b,set_b/Bunlabelledtest__132_1306758754432_B.wav,,
b,set_b/Bunlabelledtest__132_1306758754432_D.wav,,
b,set_b/Bunlabelledtest__134_1306428161797_A.wav,,
b,set_b/Bunlabelledtest__134_1306428161797_B.wav,,
b,set_b/Bunlabelledtest__135_1306428972976_D.wav,,
b,set_b/Bunlabelledtest__136_1306429977501_A.wav,,
b,set_b/Bunlabelledtest__136_1306429977501_D.wav,,
b,set_b/Bunlabelledtest__137_1306764999211_A.wav,,
b,set_b/Bunlabelledtest__137_1306764999211_B1.wav,,
b,set_b/Bunlabelledtest__137_1306764999211_D2.wav,,
